2,Tanzania,"Wildlife, beaches, ruins, Mt Kilimanjaro, friendly people, fascinating cultures – Tanzania has all these and more wrapped up in one adventurous, welcoming package. Lonely Planet will get you to the heart of Tanzania, with amazing travel experiences and the best planning advice.",TZA
3,Botswana,"Blessed with some of the greatest wildlife spectacles on earth, Botswana is one of the great safari destinations in Africa.",BWA
